Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1078,26,27,2020-01-03--2020-01-10,No Idea,4369849.0,Don Toliver,1606884.0,7AzlLxHn24DxjgQX73F9fU,"['rap', 'trap']",2020-03-13,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",80.0,0.652,0.631,-5.718,0.0893,0.524,0.165,127.998,154424.0,0.35,F#/Gb
1079,145,7,2020-06-19--2020-06-26,Airwaves,4352767.0,Pashanim,208926.0,5CqkgDH8QZjSqqI3HmYxDD,"['german alternative rap', 'german drill', 'german hip hop', 'german trap']",2020-05-14,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22",71.0,0.885,0.578,-7.416,0.0783,0.0739,0.102,131.999,178933.0,0.388,F
1080,196,1,2020-06-26--2020-07-03,Kill This Love,4341050.0,BLACKPINK,23848461.0,6hvczQ05jc1yGlp9zhb95V,"['k-pop', 'k-pop girl group']",2019-04-05,2020-06-26--2020-07-03,76.0,0.763,0.835,-5.234,0.191,0.323,0.225,131.875,191050.0,0.645,D
1081,68,24,2019-12-27--2020-01-03,Lights Up,4325411.0,Harry Styles,16127908.0,4jAIqgrPjKLTY9Gbez25Qb,"['pop', 'post-teen pop']",2019-12-13,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",75.0,0.575,0.621,-8.165,0.032,0.0392,0.141,101.987,172213.0,0.27,A#/Bb
1082,14,27,2020-01-10--2020-01-17,Lose You To Love Me,4322088.0,Selena Gomez,28931149.0,4l0Mvzj72xxOpRrp6h8nHi,"['dance pop', 'pop', 'post-teen pop']",2020-01-10,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",81.0,0.488,0.343,-8.985,0.0436,0.556,0.21,102.819,206459.0,0.0978,E
1083,94,18,2019-12-27--2020-01-03,Girls Like You (feat. Cardi B),4318772.0,Maroon 5,32279979.0,6V1bu6o1Yo5ZXnsCJU8Ovk,"['pop', 'pop rock']",2018-06-15,"2020-06-26--2020-07-03
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",66.0,0.851,0.541,-6.825,0.0505,0.568,0.13,124.959,235545.0,0.448,C
1084,47,8,2020-05-08--2020-05-15,PA' ROMPERLA,4312675.0,"Bad Bunny, Don Omar",36177712.0,5XqCz18k96K8tx6DAYM97i,"['latin', 'reggaeton', 'trap latino']",2020-05-10,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15",72.0,0.772,0.83,-5.019,0.0599,0.016,0.0843,94.011,194200.0,0.697,G
1085,83,1,2020-06-19--2020-06-26,VACATION,6883487.0,Tyga,6298789.0,6q2uIyLqASSpv2SIv2ehWK,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2020-06-19,2020-06-19--2020-06-26,51.0,0.821,0.61,-6.22,0.0959,0.0247,0.185,110.973,192936.0,0.47,C#/Db
1086,86,1,2020-06-19--2020-06-26,Big Body Benz,6707101.0,Bonez MC,1683006.0,2WOJ7D52Ng3myrKlEf4Azj,"['german hip hop', 'hamburg hip hop']",2020-06-18,2020-06-19--2020-06-26,61.0,0.884,0.451,-8.969,0.393,0.0731,0.268,94.024,148284.0,0.311,A
1087,104,1,2020-06-19--2020-06-26,Ich weiß nicht mal wie sie heißt,5827600.0,"Capital Bra, Bozza",4093115.0,4KfL3Ne8bc9bC2PUB8QGwA,['german hip hop'],2020-06-18,2020-06-19--2020-06-26,57.0,0.498,0.836,-3.905,0.184,0.525,0.0994,199.846,168750.0,0.609,A#/Bb
